OW_events;label
[69];0
[38];0
[37 32];0
[69];0
[57 60];0
[34];0
[60 57 60];0
[69];0
[217 220];0
[40];0
[57 60 57];0
[125];0
[60];0
[38];0
[44 61 64];0
[40 43];0
[57 60];0
[34];0
[57 60];0
[57 60];0
[57];0
[40 43];0
[57 60];0
[43 40 43 40];0
[40 43];0
[57 60];0
[];0
[57 60 57 60];0
[60];0
[57 60 57 60 57];0
[57 60];0
[57];0
[57 60 57];0
[];0
[43];0
[];0
[43];0
[57 60];0
[57 60];0
[217];0
[57 60];0
[43 40];0
[43 40];0
[57 60];0
[60];0
[ 60 217 220];0
[30];0
[40 43];0
[57];0
[33 28 33 29 38 35];0
[118];0
[57 60];0
[113];0
[57 60 57 60];0
[57 60];0
[40 43 40];0
[27];0
[122 125 122 125];0
[57 60 57 60];0
[40];0
[57 60];0
[40 43 40 43];0
[57];0
[69 64];0
[122];0
[37 30];0
[57 60];0
[43 40];0
[30 27];0
[40 43 40];0
[];0
[ 33 122  27];0
[57 60];0
[];0
[121];0
[];0
[57 60];0
[57 60];0
[57 60];0
[66];0
[57 60];0
[64 47];0
[40];0
[];0
[60];0
[43];0
[118 121];0
[57 60];0
[57 60 57];0
[57 60 57];0
[57];0
[116];0
[118];0
[57 60];0
[ 27 125];0
[30 27];0
[];0
[60 57 60];0
[40 43];0
[121];0
[69 27 47 31];0
[57 60 57 60];0
[57 60 57];0
[57 60 57];0
[60 57];0
[];0
[57 60];0
[];0
[57 60];0
[57 60];0
[57];0
[34];0
[57 60 57];0
[121];0
[33];0
[43];0
[57 60];0
[57];0
[];0
[57 60];0
[57 60];0
[31];0
[ 32 125];0
[57 60];0
[];0
[57];0
[121];0
[ 17 122  14];0
[60];0
[14 38 34 31 35 38];0
[40 43 40];0
[60 57 60 57 60 57];0
[57 60];0
[31 34];0
[57 60];0
[];0
[57 60 57];0
[];0
[43 40];0
[57];0
[57 60];0
[ 5 14 38 34 31];0
[34];0
[57 60];0
[40 43];0
[57 60];0
[57 60];0
[57 60];0
[];0
[220 217  38];0
[57 60];0
[ 30 122];0
[64 66 30 61];0
[61 64 61 64 61];0
[118 121 118];0
[ 21  38 118  35];0
[57 60 57 60];0
[57 60 57 60 57];0
[60];0
[57 60];0
[118 121];0
[60];0
[118];0
[57 60];0
[60 57 60];0
[57 60];0
[40];0
[38 35 38];0
[38];0
[];0
[40 33 43];0
[ 40 118];0
[69];0
[57 60 57];0
[57 60];0
[57 60];0
[57 60];0
[31];0
[];0
[122];0
[57 60 57 60];0
[];0
[57 60 57];0
[57 60];0
[];0
[27 30];0
[57 60];0
[31 57];0
[27];0
[18];0
[57 60 57 60];0
[100];0
[60 57 60];0
[ 57 125];0
[43 40];0
[61 64 61];0
[40];0
[61 64 61];0
[57 60];0
[];0
[57 60];0
[57 60];0
[40];0
[];0
[60 57 60 57 60];0
[];0
[57 60];0
[43 40 43];0
[37];0
[57 60];0
[43 40];0
[64 61 64 47 44 61 64];0
[43 40];0
[57 60];0
[60];0
[43];0
[43 40 43 40];0
[ 57  60  57  60 125];0
[57 60];0
[18 21];0
[60];0
[31];0
[57 60 57 60];0
[57 60];0
[121];0
[43];0
[43];0
[57 60];0
[];0
[43];0
[30];0
[57 60];0
[60];0
[31 34 31 34];0
[57 60];0
[217];0
[60 57 60];0
[118 121];0
[57 60];0
[64 61];0
[121 118];0
[57];0
[60 57 60];0
[57 60];0
[57 60 57];0
[69];0
[40];0
[57 60];0
[60];0
[69];0
[57 60];0
[57 60 57];0
[57 60];0
[57 60];0
[57 60];0
[60 57];0
[];0
[40];0
[34];0
[];0
[34 31];0
[35 38 35];0
[27 30];0
[57];0
[60];0
[37 30 43 40 28];0
[125 122];0
[57 60];0
[43];0
[118 121 118];0
[60 57 60];0
[57];0
[57 60];0
[60];0
[57];0
[60];0
[60];0
[31];0
[57];0
[57 60];0
[64 61];0
[57 60];0
[17 14 17 14];0
[57 60 57 60];0
[60 57 60 57];0
[];0
[66];0
[57 60];0
[69];0
[57 60 57];0
[57 60];0
[64 47];0
[66];0
[118];0
[43 40 43];0
[];0
[57 60 57];0
[];0
[57 60];0
[57 60];0
[];0
[25 22 51 25 48 22 51];0
[];0
[];0
[27];0
[18];0
[57 60 57];0
[60 57 60];0
[57 60];0
[57 60 57 60];0
[60];0
[27];0
[ 43 118];0
[57 60];0
[40 43 40 43];0
[57 60];0
[61 69 64];0
[66];0
[57 60];0
[40 43];0
[57 60];0
[57 60 96];0
[57 60];0
[40];0
[66];0
[ 40  43 118];0
[60];0
[57 60 57 60];0
[43];0
[57 60];0
[57 60];0
[60];0
[30];0
[  5  14 121  17   8];0
[57 60];0
[43 40];0
[31];0
[43 40 43];0
[57];0
[57 60 57 60];0
[121];0
[33 57 60];0
[57 60];0
[57];0
[44 64 61 64];0
[220  57 217  60  57 220];0
[57 60];0
[57 60 57 60];0
[57 60];0
[];0
[121];0
[57 60];0
[57 60];0
[43 40];0
[30];0
[57 60];0
[47];0
[38];0
[35];0
[57 60];0
[57 60];0
[57 60];0
[];0
[217 220 217 220];0
[61 64 61 64 61];0
[43 40];0
[57 60];0
[66];0
[60 57 60];0
[60 57 60];0
[57 60 57];0
[57 60];0
[60 57 60];0
[57 60 57];0
[57 60];0
[57 60];0
[44 47];0
[57 60];0
[60 66];0
[57 60];0
[121];0
[66];0
[64];0
[31 35 38 35];0
[35 57 60];0
[];0
[57 60];0
[ 57 217  60 220];0
[38 35];0
[40];0
[40 43 40];0
[57];0
[60];0
[36];0
[57 60 57 60];0
[60];0
[];0
[38 60 57 60];0
[35];0
[57 60];0
[125 122];0
[];0
[27 31];0
[57 60 57 60];0
[57 60];0
[57 60];0
[66 69];0
[121 118];0
[];0
[43 40];0
[35 37];0
[35];0
[43 40];0
[38];0
[60 57 60];0
[];0
[51];0
[66];0
[57 60 57];0
[57 60 57];0
[];0
[];0
[57 60];0
[57 60];0
[43];0
[43 40];0
[57 60 57];0
[40 43];0
[];0
[61];0
[60 57 60];0
[57 60 57];0
[57 60];0
[];0
[30 27];0
[57 60];0
[34 31];0
[57 60];0
[];0
[57 60];0
[125 122];0
[69];0
[57 60];0
[];0
[57];0
[69];0
[60];0
[60];0
[34];0
[];0
[38];0
[69];0
[57 60];0
[57];0
[40 43];0
[37 32 66];0
[43 40];0
[];0
[57 60];0
[57 60 57 60];0
[57 60 57 60];0
[31 35];0
[27];0
[57];0
[57 60 57 60];0
[ 12  25 122];0
[47 61 44 64 61 64];0
[34 30];0
[43];0
[60];0
[57 60];0
[57 60];0
[57 60 57 60 57];0
[60 57 60];0
[40 43 40];0
[31];0
[ 27 125  30 122];0
[61 64 61];0
[57 60 57 60];0
[60 57 60];0
[57 60];0
[57 60];0
[57 60];0
[64 61];0
