OW_events;label
[43];0
[69 66 69];1
[66 34];0
[43 40];0
[57 60];0
[];1
[38 33 28];1
[57];1
[57 60];0
[];0
[ 31 121  33 118  27  30];0
[38 35 37];1
[];0
[44 47];0
[43];0
[27 30];0
[57 60 57 60];0
[43 40];0
[30 27];1
[57 60 57 60];0
[38 35];1
[34];0
[40 43];0
[38 35];1
[21];0
[43 40];0
[57 60];0
[57 60];0
[];1
[40 43];0
[35 37];1
[34 30 28 35];0
[];1
[57 60 57];0
[60 57];0
[60];0
[];1
[];1
[60];0
[ 69 105];0
[57 60 57 60 57 60];0
[];1
[];0
[35 44 38 61 64 61 64];1
[121];0
[57 60];0
[];0
[113  38];1
[57 60 57 60];0
[38 33 60];1
[ 17   8  14  19 125   5  24 122];0
[38 34 32 38];1
[28 57 33 60 27];0
[60 57 60];0
[60 57 60];0
[];0
[220 217  57  60 220];0
[57];0
[118];0
[60];0
[57 60 57];0
[34 31];0
[57 60 57];0
[60];0
[57 60];0
[57];0
[57 60];0
[];1
[57 60];0
[30 27];0
[];1
[57 60];0
[27];1
[43];0
[113 116];0
[];0
[57 60];0
[40];0
[ 8 17];0
[57];0
[];0
[57 60];0
[44];1
[30 57];0
[31 34 31 34 31];1
[60 57 60];0
[ 31  34 122 125  31];1
[57 60];0
[38];0
[35];0
[60];0
[33];0
[34];0
[40];0
[31];0
[57];0
[27 61 64];0
[57 60];0
[57];0
[31 35 38];1
[57];0
[37 30];1
[57];0
[38 35];0
[57 60];0
[31];0
[43 40];0
[57];0
[30 27 30];0
[40];0
[30 29 38 33];0
[57 60];0
[27];0
[38 35];1
[57 60 57 60];0
[ 40 121];0
[57 60];0
[57 60 57 60];0
[57 60];0
[];1
[64 61 64];0
[47 61 44 64 61];0
[];0
[30];0
[44 47];0
[34 31 35 38];1
[];1
[];0
[57 60];0
[57 60 57];0
[40 43];0
[];0
[57 60];0
[];1
[];0
[];1
[40 43];0
[ 11  23 118   5   8   5  15  44  69 121  47];0
[57 60];0
[35];1
[];0
[ 27  57  31  60 125  57  60];1
[118 121];0
[57 60];0
[57 60];0
[60];0
[43 40 43 40];0
[57 60];0
[];0
[57 60];0
[38 34 32 37 30];1
[40 43];0
[43 40];0
[57 60];0
[57 60 57];0
[38];1
[118];0
[35 38];1
[36 27];1
[57 60];0
[57 60];0
[40 43];0
[125  34 122];0
[57 60];0
[64 61];0
[40];0
[];0
[38 33 61 28 64];1
[];1
[];0
[57 60];0
[57 60];0
[40 43 40];0
[57 60 57 60];0
[43];0
[];0
[37];1
[57 60];0
[31 34 30];1
[30 27 30];0
[57 60];0
[57 60];0
[66];0
[57 60];0
[121];0
